Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,57081000,57824000,70095000,67289000
Depreciation & amortization,-,78613000,74913000,77291000
Change in working capital,-,-4149000,2490000,-15342000
Inventory,-,6062000,-5368000,-7399000
Other working capital,-,138435000,152558000,126356000
Other non-cash items,-,13216000,10946000,17579000
Net cash provided by operating activites,-,138435000,152558000,126356000
Purchases of investments,-,-13328000,-5258000,-1161000
Sales/Maturities of investments,-,3819000,1059000,42000
Other investing activites,-,-215589000,-142381000,-131191000
Net cash used for investing activites,-,-225098000,-145378000,-132310000
Net change in cash,-,-4891000,-1501000,-3086000
Cash at beginning of period,-,38322000,39823000,42909000
Cash at end of period,-,33302000,38322000,39823000
Operating Cash Flow,-,138435000,152558000,126356000
Free Cash Flow,-,138435000,152558000,126356000
