Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-267.058,-78.234,-218.888,-923.373,-805.4366
Acquisitions net,-,-,-,-,-7902
Purchases of investments,-,-,-,-,-23022
Other investing activites,-,-,-2153,-,-
Net cash used for investing activites,-267.058,-78.234,21265,-923.373,-8707
Debt repayment,-,-,-16077,-3062,-481.0658
Common stock issued,-,3651,-,229.847,12485
Common stock repurchased,-,-282.261,-170,-,-570.615
Other financing activites,-,-,-,708.3299,-
Net cash used privided by (used for) financing activities,-,3369,-16016,-112.6909,14798
Net change in cash,-189.352,947.434,737.185,-1386,-1079
Cash at beginning of period,2301,3329,2574,3748,5336
Cash at end of period,2112,4276,3329,954.6419,3765
Capital Expenditure,-267.058,-78.234,-218.888,-923.373,-805.4366
Free Cash Flow,-3440,-2422,-4731,-1274,-7974
