Breakdown,ttm,6/30/2019
Total Revenue,3599,3599
Selling General and Administrative,396,396
Total Operating Expenses,396,396
Income Before Tax,3203,3203
Income Tax Expense,0,0
Income from Continuing Operations,3203,3203
Net Income,3203,3203
Net Income available to common shareholders,3203,3203
