Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,2834000,2834000,2782000,2609000,2382957
Interest Expense,411000,411000,251000,127000,86966
Income Before Tax,1053000,1053000,1143000,936000,704908
Income Tax Expense,237000,237000,259000,344000,235858
Income from Continuing Operations,816000,816000,884000,592000,469050
Net Income,816000,816000,884000,592000,469050
Net Income available to common shareholders,776000,776000,843000,545000,407010
Basic EPS,-,-,4.36,2.71,2.00
Diluted EPS,-,-,4.08,2.60,1.99
Basic Average Shares,-,-,193589,200776,203855
Diluted Average Shares,-,-,206501,209653,204269
