Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,-13364,-13364,66723,44060,49945
Interest Expense,13364,13364,10618,10650,5285
Income Before Tax,34642,34642,29121,13348,25498
Income Tax Expense,9142,9142,8883,4217,7659
Income from Continuing Operations,25500,25500,20238,9131,17838
Net Income,25500,25500,20238,9131,17838
Net Income available to common shareholders,25500,25500,20238,9131,17838
Basic EPS,-,-,0.12,0.06,0.11
Diluted EPS,-,-,0.12,0.06,0.11
Basic Average Shares,-,-,163993,163943,163893
Diluted Average Shares,-,-,163993,163943,163893
