Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,126134,108387,-644728,-1104125
Depreciation & amortization,-,136243,174085,228632
Change in working capital,-,30222,-257648,-175127
Inventory,-,200329,293,111604
Other working capital,-,407079,-554812,-709206
Other non-cash items,-,182515,18377,109779
Net cash provided by operating activites,-,443365,-410407,-443862
Investments in property plant and equipment,-,-36286,-144405,-265344
Purchases of investments,-,-1199,-1200,-1199
Sales/Maturities of investments,-,-,-,44401
Other investing activites,-,60512,-26611,-22578
Net cash used for investing activites,-,23027,-113087,-243267
Net change in cash,-,-101278,102132,-848932
Cash at beginning of period,-,1314617,1212484,2061417
Cash at end of period,-,1213338,1314617,1212484
Operating Cash Flow,-,443365,-410407,-443862
Capital Expenditure,-,-36286,-144405,-265344
Free Cash Flow,-,407079,-554812,-709206
