Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1040856,965046,971173,868425
Depreciation & amortization,-,207587,225148,195108
Change in working capital,-,-86805,168400,47032
Inventory,-,-144785,26767,-80641
Other working capital,-,1134280,1194345,940272
Other non-cash items,-,42549,13199,44501
Net cash provided by operating activites,-,1201736,1327861,1226771
Investments in property plant and equipment,-,-67456,-133516,-286499
Purchases of investments,-,-2059173,-,-150000
Sales/Maturities of investments,-,2050000,-,565
Other investing activites,-,1802,-315630,-225601
Net cash used for investing activites,-,-74827,-449146,-661535
Net change in cash,-,26565,3435,324090
Cash at beginning of period,-,1966133,1962697,1638607
Cash at end of period,-,1992698,1966133,1962697
Operating Cash Flow,-,1201736,1327861,1226771
Capital Expenditure,-,-67456,-133516,-286499
Free Cash Flow,-,1134280,1194345,940272
