Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Net Income,702000,624000,249000,664000,701000
Depreciation & amortization,759000,753000,734000,584000,604000
Change in working capital,497000,-366000,688000,-986000,178000
Inventory,-127000,218000,-128000,-358000,-104000
Other working capital,946000,-394000,1162000,-79000,1092000
Other non-cash items,183000,71000,729000,-31000,-219000
Net cash provided by operating activites,2215000,1101000,2086000,409000,1585000
Investments in property plant and equipment,-1269000,-1495000,-924000,-488000,-493000
Acquisitions net,-,-86000,-,-,-
Purchases of investments,-561000,-528000,-3000,-858000,-195000
Sales/Maturities of investments,893000,845000,-,-,-
Other investing activites,-14000,-12000,167000,61000,-13000
Net cash used for investing activites,-858000,-1209000,-630000,-1272000,-654000
Net change in cash,100000,90000,867000,1583000,75000
Cash at beginning of period,3137000,3209000,2341000,742000,666000
Cash at end of period,3239000,3300000,3209000,2341000,742000
Operating Cash Flow,2215000,1101000,2086000,409000,1585000
Capital Expenditure,-1269000,-1495000,-924000,-488000,-493000
Free Cash Flow,946000,-394000,1162000,-79000,1092000
