Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-10.308,-24.871,-51.649,-7.076
Purchases of investments,-,-,-,-,-21
Other investing activites,144.1,-10,11.9,-28,-
Net cash used for investing activites,103.792,-20.308,-12.971,-79.649,-28.076
Common stock issued,2543,1269,1200,3674,2040
Common stock repurchased,-158.504,-80.983,-84.147,-358.484,-150.232
Other financing activites,-,-,-,-,360.52
Net cash used privided by (used for) financing activities,2384,1188,1116,3316,2250
Net change in cash,420.972,-923.533,-379.539,1380,37.081
Cash at beginning of period,1227,1649,2029,648.759,611.678
Cash at end of period,1648,725.933,1649,2029,648.759
Capital Expenditure,-,-10.308,-24.871,-51.649,-7.076
Free Cash Flow,-2107,-2102,-1507,-1908,-2192
