Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-1548,-2976,-3618
Net cash used for investing activites,-1543,-2976,-3618
Common stock issued,-,609.82,8637
Common stock repurchased,-,-81.776,-694.576
Net cash used privided by (used for) financing activities,-,528.044,7943
Net change in cash,-490.516,-3250,3664
Cash at beginning of period,1126,3992,327.885
Cash at end of period,635.196,741.889,3992
Capital Expenditure,-1548,-2976,-3618
Free Cash Flow,-2402,-3778,-4278
