Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-437.018,-599.521,-21.395
Acquisitions net,-,-,-85
Net cash used for investing activites,-437.018,-599.521,-106.395
Debt repayment,-,-,-250
Common stock issued,-,153.75,4750
Common stock repurchased,-,-11.402,-448.723
Other financing activites,-,0.001,-
Net cash used privided by (used for) financing activities,-17.999,142.349,4051
Net change in cash,-1185,-1173,3639
Cash at beginning of period,3214,3639,-
Cash at end of period,2029,2466,3639
Capital Expenditure,-437.018,-599.521,-21.395
Free Cash Flow,-1167,-1316,-326.984
