Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,3468992,3181722,2993403,2477597
Liabilities,,,,
Total Liabilities,3042825,2782133,2620117,2184579
Stockholders' Equity,,,,
Common Stock,127,127,127,127
Retained Earnings,329175,295588,262900,240592
Accumulated other comprehensive income,4595,-2148,217,215
Total stockholders' equity,426167,399589,373286,293018
Total liabilities and stockholders' equity,3468992,3181722,2993403,2477597
