Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,-1037182,-1197550,406314,627471
Depreciation & amortization,-,1060367,890015,849727
Change in working capital,-,-451389,-45375,-265767
Inventory,-,-67626,-350790,-72536
Other working capital,-,-290076,-1541874,1524397
Other non-cash items,-,412820,-139474,1041466
Net cash provided by operating activites,-,294501,419189,2231450
Investments in property plant and equipment,-,-584577,-1961063,-707053
Other investing activites,-,-46132,-358762,-214654
Net cash used for investing activites,-,-630709,-2319825,-921707
Net change in cash,-,-26573,28672,-135596
Cash at beginning of period,-,1175525,1146852,1282448
Cash at end of period,-,1148951,1175525,1146852
Operating Cash Flow,-,294501,419189,2231450
Capital Expenditure,-,-584577,-1961063,-707053
Free Cash Flow,-,-290076,-1541874,1524397
