Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,211349,211349,196996,186464,198501
Interest Expense,54602,54602,37757,27905,22119
Income Before Tax,90061,90061,81950,70322,61858
Income Tax Expense,16449,16449,14841,18758,16516
Income from Continuing Operations,73612,73612,67109,51564,45342
Net Income,73612,73612,67109,51564,45342
Net Income available to common shareholders,73612,73612,67109,51564,45342
Basic EPS,-,-,4.75,3.69,3.26
Diluted EPS,-,-,4.71,3.65,3.21
Basic Average Shares,-,-,14128,13974,13909
Diluted Average Shares,-,-,14248,14127,14125
