Breakdown,ttm,3/31/2019
Total Revenue,52085,35312
Selling General and Administrative,1302,1193
Total Operating Expenses,1305,1196
Interest Expense,4486,3309
Income Before Tax,50780,34116
Income Tax Expense,0,0
Income from Continuing Operations,50780,34116
Net Income,50780,34116
Net Income available to common shareholders,50780,34116
Basic EPS,-,0.13
Diluted EPS,-,0.13
Basic Average Shares,-,272589
Diluted Average Shares,-,272589
