Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,624719,567154,492572,287198
Depreciation & amortization,-,633616,601751,591623
Change in working capital,-,90048,-54638,50785
Inventory,-,-543,-644,1980
Other working capital,-,-481159,720111,747341
Other non-cash items,-,49608,74871,49673
Net cash provided by operating activites,-,1317536,990386,1057955
Investments in property plant and equipment,-,-1798695,-270275,-310614
Acquisitions net,-,-,-,0
Other investing activites,-,-13729,1182,-1436
Net cash used for investing activites,-,-1782213,-252712,-268663
Net change in cash,-,-102471,428397,233990
Cash at beginning of period,-,1903901,1475504,1241514
Cash at end of period,-,1801430,1903901,1475504
Operating Cash Flow,-,1317536,990386,1057955
Capital Expenditure,-,-1798695,-270275,-310614
Free Cash Flow,-,-481159,720111,747341
