Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,224296,224296,194270,185808,173616
Interest Expense,36339,36339,25692,16805,13207
Income Before Tax,113487,113487,88017,90745,77211
Income Tax Expense,24135,24135,18015,36435,25083
Income from Continuing Operations,89352,89352,70002,54310,52128
Net Income,89352,89352,70002,54310,52128
Net Income available to common shareholders,88546,88546,69348,53719,51505
Basic EPS,-,-,4.50,3.49,3.46
Diluted EPS,-,-,4.49,3.48,3.45
Basic Average Shares,-,-,15421,15412,14900
Diluted Average Shares,-,-,15439,15436,14913
