Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-79030,-62928,-157011,-32475,-525.564
Other investing activites,-3547,-14394,-3222,-,-
Net cash used for investing activites,-82577,-77322,-160233,-32475,-525.564
Debt repayment,-38800,-44500,-,-,-18.265
Common stock issued,-,50000,1511,132134,24235
Common stock repurchased,-,-1948,-,-,-
Other financing activites,-,-767,-1037,-2580,-
Net cash used privided by (used for) financing activities,-39220,2785,150474,129554,24217
Net change in cash,-31593,-27351,-27297,80515,5024
Cash at beginning of period,52622,62866,90163,9648,4625
Cash at end of period,21029,35515,62866,90163,9648
Capital Expenditure,-79030,-62928,-157011,-32475,-525.564
Free Cash Flow,11174,-15742,-174549,-49039,-19194
