Breakdown,ttm,6/30/2019,6/30/2018
Total Revenue,208261,217265,291195
Interest Expense,1183,163,4219
Income Before Tax,13282,25408,27589
Income Tax Expense,6750,8630,8318
Income from Continuing Operations,6532,16778,19270
Net Income,6532,16778,19270
Net Income available to common shareholders,6532,16778,19270
Basic EPS,-,0.07,0.12
Diluted EPS,-,0.07,0.12
Basic Average Shares,-,223000,167207
Diluted Average Shares,-,223000,167207
