Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1458749,1116096,1104207,867314
Depreciation & amortization,-,600930,548238,492280
Change in working capital,-,1489548,-58452,922201
Inventory,-,120403,-26967,-381959
Other working capital,-,2615031,1283791,1864431
Other non-cash items,-,-448,-312846,54790
Net cash provided by operating activites,-,2837495,1711361,2172289
Investments in property plant and equipment,-,-222464,-427570,-307858
Acquisitions net,-,-333522,-356908,-
Purchases of investments,-,-35699,-3443,-895
Sales/Maturities of investments,-,1998,3737,29360
Other investing activites,-,23751,-11888,1312
Net cash used for investing activites,-,-563869,-213334,-277268
Net change in cash,-,1306333,491675,510671
Cash at beginning of period,-,2363297,1871622,1360950
Cash at end of period,-,3669631,2363297,1871622
Operating Cash Flow,-,2837495,1711361,2172289
Capital Expenditure,-,-222464,-427570,-307858
Free Cash Flow,-,2615031,1283791,1864431
