Breakdown,ttm,3/31/2019,3/31/2018
Net Income,110418,110418,34992
Depreciation & amortization,30096,30096,93629
Change in working capital,31664,31664,24193
Inventory,19431,19431,-2029
Other working capital,-78134,-78134,99171
Net cash provided by operating activites,154292,154292,130340
Investments in property plant and equipment,-232426,-232426,-31169
Purchases of investments,-6059,-6059,-6059
Other investing activites,-1,-1,-1
Net cash used for investing activites,-238486,-238486,-37229
Net change in cash,-97290,-97290,71391
Cash at beginning of period,517113,517113,445722
Cash at end of period,419822,419822,517113
Operating Cash Flow,154292,154292,130340
Capital Expenditure,-232426,-232426,-31169
Free Cash Flow,-78134,-78134,99171
