Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,2838000,2838000,1732000,3785000,2503000
Depreciation & amortization,2406000,2406000,1111000,981000,945000
Stock based compensation,4000,4000,5000,5000,9000
Change in working capital,-1392000,-1392000,-784000,-376000,-58000
Inventory,-115000,-115000,-466000,-209000,-75000
Other working capital,3347000,3347000,2600000,2942000,2812000
Other non-cash items,6000,6000,-14000,17000,-35000
Net cash provided by operating activites,4865000,4865000,4146000,4298000,3950000
Investments in property plant and equipment,-1518000,-1518000,-1546000,-1356000,-1138000
Acquisitions net,-1116000,-1116000,-2478000,-1601000,-712000
Purchases of investments,-409000,-409000,-708000,-1609000,-294000
Sales/Maturities of investments,450000,450000,236000,767000,122000
Other investing activites,-44000,-44000,-45000,-50000,-56000
Net cash used for investing activites,-700000,-700000,-4658000,-3975000,-2063000
Net change in cash,2125000,2125000,-867000,383000,836000
Cash at beginning of period,4953000,4953000,6001000,5531000,4773000
Cash at end of period,7157000,7157000,4953000,6001000,5531000
Operating Cash Flow,4865000,4865000,4146000,4298000,3950000
Capital Expenditure,-1518000,-1518000,-1546000,-1356000,-1138000
Free Cash Flow,3347000,3347000,2600000,2942000,2812000
