Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,1.754,-5.755,-29.618,-8.828,-
Purchases of investments,-,-,-7.561,-,-500
Other investing activites,-,-,-,9.688,-
Net cash used for investing activites,6.891,-5.134,-37.179,0.86,-500
Debt repayment,-,-,-,-175,-690.5
Common stock issued,4228,852.795,1466,4324,-
Common stock repurchased,-,-33.675,-44.482,-273.465,-
Net cash used privided by (used for) financing activities,4228,852.795,1421,4045,-600
Net change in cash,3575,-415.982,-1274,1674,-1656
Cash at beginning of period,160.277,453.776,1727,53.348,1669
Cash at end of period,3735,40.854,453.776,1727,33.416
Capital Expenditure,1.754,-5.755,-29.618,-8.828,-
Free Cash Flow,-658.677,-1269,-2687,-2381,-556.356
