Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2153000,-7953000,-10905000,2623000
Depreciation & amortization,5218000,4490000,3142000,3436000
Change in working capital,-3781000,-4531000,-1313000,1752000
Inventory,-701000,-3492000,-776000,-786000
Other working capital,-13105000,-30712000,3713000,-2181000
Other non-cash items,3141000,14198000,17325000,-1774000
Net cash provided by operating activites,-5368000,-22790000,7989000,3310000
Investments in property plant and equipment,-7737000,-7922000,-4276000,-5491000
Purchases of investments,-7743000,-13423000,-9772000,-11651000
Sales/Maturities of investments,14665000,21251000,10977000,12973000
Other investing activites,872000,-253000,364000,-1306000
Net cash used for investing activites,235000,-169000,-2858000,-5357000
Net change in cash,5188000,-11212000,3561000,-4578000
Cash at beginning of period,19310000,24841000,21279000,25857000
Cash at end of period,24745000,13628000,24841000,21279000
Operating Cash Flow,-5368000,-22790000,7989000,3310000
Capital Expenditure,-7737000,-7922000,-4276000,-5491000
Free Cash Flow,-13105000,-30712000,3713000,-2181000
