Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,89142453,89142453,87416638,89362578,91519578
Selling General and Administrative,8415181,8415181,8297228,9811640,9760374
Total Operating Expenses,56855650,56855650,50455691,49866435,53114036
Interest Expense,71652572,71652572,79969535,83188160,111810555
Income Before Tax,16121177,16121177,20663696,18133832,14371690
Income Tax Expense,-6860500,-6860500,4767368,4050863,3647467
Income from Continuing Operations,22981677,22981677,15896328,14082969,10724223
Net Income,18162067,18162067,12862026,11010776,8033556
Net Income available to common shareholders,17899349,17899349,12648803,10881098,7930114
Basic EPS,-,-,4.54,3.91,2.84
Diluted EPS,-,-,4.54,3.91,2.84
Basic Average Shares,-,-,2785290,2784905,2787553
Diluted Average Shares,-,-,2785290,2784905,2787553
