Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1184938,993637,732762,439514
Depreciation & amortization,-,231843,232269,198879
Change in working capital,-,-343014,812673,-512951
Inventory,-,-142663,13604,-20368
Other working capital,-,808834,1604432,-190223
Other non-cash items,-,-24304,82035,-46214
Net cash provided by operating activites,-,1079376,1780996,202329
Investments in property plant and equipment,-,-270542,-176564,-392552
Acquisitions net,-,-39338,-13361,-31992
Purchases of investments,-,-721800,-,-210500
Sales/Maturities of investments,-,802100,66765,5616
Other investing activites,-,2421,130716,241633
Net cash used for investing activites,-,-230359,-11644,-426795
Net change in cash,-,978253,1467969,-643734
Cash at beginning of period,-,5228326,3760357,4404091
Cash at end of period,-,6206579,5228326,3760357
Operating Cash Flow,-,1079376,1780996,202329
Capital Expenditure,-,-270542,-176564,-392552
Free Cash Flow,-,808834,1604432,-190223
