Breakdown,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Assets,231961,189821,147374,115065
Liabilities,,,,
Total Liabilities,5877,6284,4316,7439
Stockholders' Equity,,,,
Common Stock,2044,1861,1627,1456
Total stockholders' equity,226084,183537,143058,107626
Total liabilities and stockholders' equity,231961,189821,147374,115065
