Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,146000,146000,488000,416000,35000
Depreciation & amortization,67000,67000,52000,49000,47000
Change in working capital,-39000,-39000,-669000,1134000,229000
Other working capital,-2056000,-2056000,133000,5396000,2858000
Other non-cash items,-1100000,-1100000,1468000,3905000,2355000
Net cash provided by operating activites,-2043000,-2043000,144000,5413000,2871000
Investments in property plant and equipment,-13000,-13000,-11000,-17000,-13000
Acquisitions net,-87000,-87000,-5000,-33000,-16000
Purchases of investments,-,-,-366000,-4760000,-2810000
Sales/Maturities of investments,2260000,2260000,-,-,-
Other investing activites,-,-,-5000,-,-
Net cash used for investing activites,2238000,2238000,-7000,-4602000,-2839000
Net change in cash,77000,77000,-111000,763000,-1000
Cash at beginning of period,2395000,2395000,2507000,1595000,1601000
Cash at end of period,2473000,2473000,2395000,2360000,1595000
Operating Cash Flow,-2043000,-2043000,144000,5413000,2871000
Capital Expenditure,-13000,-13000,-11000,-17000,-13000
Free Cash Flow,-2056000,-2056000,133000,5396000,2858000
