Breakdown,ttm,3/31/2019,3/31/2018
Net Income,-84248,-52012,60955
Deferred income taxes,-2495,-18595,-119621
Change in working capital,47061,4189,0
Other working capital,-223,3408,0
Net cash provided by operating activites,-223,3408,0
Acquisitions net,-610784,0,-
Net cash used for investing activites,-882326,6503,171
Common stock issued,841608,0,0
Common stock repurchased,0,-6502,-171
Net cash used privided by (used for) financing activities,882327,-6502,-171
Net change in cash,-222,3409,0
Cash at beginning of period,3631,0,0
Cash at end of period,-,3409,0
Operating Cash Flow,-223,3408,0
Free Cash Flow,-223,3408,0
