Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,63571,63571,49337,46829,44791
Interest Expense,14759,14759,6572,5127,4223
Income Before Tax,22634,22634,18176,17903,16320
Income Tax Expense,4232,4232,3227,5183,4656
Income from Continuing Operations,18402,18402,14949,12720,11664
Net Income,18402,18402,14949,12720,11664
Net Income available to common shareholders,18264,18264,14949,12720,11664
Basic EPS,-,-,1.61,1.38,1.26
Diluted EPS,-,-,1.61,1.38,1.26
Basic Average Shares,-,-,9285,9217,9221
Diluted Average Shares,-,-,9285,9217,9221
