Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,76593,76593,75932,69998,62484
Interest Expense,21378,21378,16401,10868,8649
Income Before Tax,23672,23672,24724,21908,18988
Income Tax Expense,5025,5025,5182,9904,5886
Income from Continuing Operations,18647,18647,19542,12004,13102
Net Income,18647,18647,19542,12004,13102
Net Income available to common shareholders,18647,18647,19542,12004,13086
Basic EPS,-,-,1.98,1.22,1.35
Diluted EPS,-,-,1.96,1.22,1.34
Basic Average Shares,-,-,9857,9780,9695
Diluted Average Shares,-,-,9953,9895,9777
