Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-10710,-9865,-10677,-8677,-4145
Acquisitions net,-,-,-,-,-2029
Net cash used for investing activites,-10650,-9535,-10676,-8666,-6152
Debt repayment,-,-9059,-,-,-538
Common stock issued,400,24875,400,2000,-
Common stock repurchased,-1046,-1045,-10,-15,-
Dividends Paid,-1502,-1717,-1239,-1238,-623
Other financing activites,-40,-11,-56,-52,-96
Net cash used privided by (used for) financing activities,18882,13043,7973,695,-1257
Net change in cash,31327,24779,-913,-3960,4658
Cash at beginning of period,913,794,1691,5620,954
Cash at end of period,32240,25620,794,1691,5620
Capital Expenditure,-10710,-9865,-10677,-8677,-4145
Free Cash Flow,12385,11406,-8887,-4666,7922
