Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-,-,-63.614,-688.755
Purchases of investments,-,-,-,-66.653,-
Net cash used for investing activites,-,-,-,-130.267,-688.755
Debt repayment,-,-,-,15,-600
Common stock issued,-,-,786.645,3001,7510
Common stock repurchased,-,-,-41.159,-222.71,-0.804
Other financing activites,-,-,-,-,84.382
Net cash used privided by (used for) financing activities,-,-,995.486,2793,-0.804
Net change in cash,3979,-450.333,396.05,-1695,-6520
Cash at beginning of period,295.39,530.402,134.352,1959,8418
Cash at end of period,4275,80.069,530.402,204.267,1959
Capital Expenditure,-,-,-,-63.614,-688.755
Free Cash Flow,-2543,-450.333,-599.436,-4422,-6519
