Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,7988000,7344000,-8717000,5385000
Depreciation & amortization,9740000,9579000,9638000,8422000
Change in working capital,2721000,-3810000,-617000,1001000
Inventory,1305000,-1250000,-2018000,-140000
Other working capital,17478000,6692000,11404000,-2452000
Other non-cash items,-1693000,-1686000,-1573000,-1274000
Net cash provided by operating activites,27475000,17484000,21845000,8974000
Investments in property plant and equipment,-9997000,-10792000,-10441000,-11426000
Purchases of investments,-,-,-,-4000
Sales/Maturities of investments,-,-,-,1000
Other investing activites,6542000,-7547000,-2171000,-2463000
Net cash used for investing activites,4160000,-18317000,-12467000,-13892000
Net change in cash,24905000,-5142000,2129000,-14508000
Cash at beginning of period,33763000,40669000,38541000,53049000
Cash at end of period,58467000,35527000,40669000,38541000
Operating Cash Flow,27475000,17484000,21845000,8974000
Capital Expenditure,-9997000,-10792000,-10441000,-11426000
Free Cash Flow,17478000,6692000,11404000,-2452000
