Breakdown,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Assets,172293,182846,142625,132875
Liabilities,,,,
Total Liabilities,20449,22553,6469,4945
Stockholders' Equity,,,,
Common Stock,142794,140240,138329,138516
Retained Earnings,-30557,-27620,-27620,-28777
Accumulated other comprehensive income,39606,47673,25447,18191
Total stockholders' equity,151843,160293,136156,127929
Total liabilities and stockholders' equity,172293,182846,142625,132875
