Breakdown,ttm,6/30/2019
Investments in property plant and equipment,-4123,-1871
Sales/Maturities of investments,-,200
Net cash used for investing activites,-578,-1671
Debt repayment,-3385,-236
Common stock issued,28673,20725
Net cash used privided by (used for) financing activities,23605,20489
Net change in cash,7554,12662
Cash at beginning of period,14873,2300
Cash at end of period,22427,14918
Capital Expenditure,-4123,-1871
Free Cash Flow,-19596,-8027
