Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Investments in property plant and equipment,-123620,-94853,-88976,-18363
Purchases of investments,-,-,-,-597.8975
Other investing activites,-,-,-,-1.0951
Net cash used for investing activites,-120839,-93537,-87838,-18664
Debt repayment,-45633,-40690,-45768,-518739
Common stock issued,-,271414,-,-
Dividends Paid,-,-11112,-11662,-22003
Other financing activites,-271950,-235427,-,1.0951
Net cash used privided by (used for) financing activities,-6715,27522,16555,-91682
Net change in cash,-27927,51313,20208,23423
Cash at beginning of period,54382,47941,28752,5624
Cash at end of period,26455,99133,48880,29575
Capital Expenditure,-123620,-94853,-88976,-18363
Free Cash Flow,-23993,22474,2515,115406
