Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,52000,291000,508000,638000
Depreciation & amortization,-,575000,587000,616000
Change in working capital,-,-629000,-928000,-333000
Inventory,-,-2187000,-164000,208000
Other working capital,-,413000,408000,328000
Other non-cash items,-,258000,121000,206000
Net cash provided by operating activites,-,413000,408000,328000
Purchases of investments,-,-1000,-1000,-1000
Sales/Maturities of investments,-,11000,254000,-
Other investing activites,-,-2345000,-908000,-2129000
Net cash used for investing activites,-,-2334000,-477000,-2109000
Net change in cash,-,324000,667000,-463000
Cash at beginning of period,-,5596000,4928000,5392000
Cash at end of period,-,5921000,5596000,4928000
Operating Cash Flow,-,413000,408000,328000
Free Cash Flow,-,413000,408000,328000
