Breakdown,12/31/2019,12/31/2018,12/31/2017
Total Assets,368997,228245,196383
Liabilities,,,
Total Liabilities,28315,29908,2933
Stockholders' Equity,,,
Common Stock,3189,1922,1922
Retained Earnings,42075,20163,9457
Total stockholders' equity,340682,198337,193450
Total liabilities and stockholders' equity,368997,228245,196383
