Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,771000,771000,229000,841000,728000
Interest Expense,2149000,2149000,1173000,524000,394000
Income Before Tax,688000,688000,129000,771000,623000
Income from Continuing Operations,688000,688000,129000,771000,623000
Net Income,688000,688000,129000,771000,623000
Net Income available to common shareholders,628000,628000,93000,733000,595000
Basic EPS,-,-,0.21,2.04,1.79
Diluted EPS,-,-,0.21,2.04,1.79
Basic Average Shares,-,-,441100,358600,331900
Diluted Average Shares,-,-,441400,358700,331900
