Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-21153,-19348,-18394,-14914,-1898
Acquisitions net,-,-5436,-1200,-,-
Purchases of investments,-,-466,-,-,-
Net cash used for investing activites,-21088,-25250,-19594,-14779,-1898
Common stock issued,-,-,-,474,375
Common stock repurchased,-,-521,-893,-602,-
Dividends Paid,-12273,-10720,-8063,-8390,-11145
Net cash used privided by (used for) financing activities,-8119,-11241,-8956,-8518,-10770
Net change in cash,9333,1938,-448,-1435,-1344
Cash at beginning of period,7549,13282,13313,14748,16092
Cash at end of period,16882,15534,13282,13313,14748
Capital Expenditure,-21153,-19348,-18394,-14914,-1898
Free Cash Flow,17387,19081,9708,6948,9426
