Breakdown,ttm,12/31/2018,12/31/2017,12/31/2016
Net Income,837779,525290,-2608618,-4021011
Depreciation & amortization,-,3607,4197,8091
Change in working capital,-,312668,5197925,3530623
Inventory,-,2176334,568560,651587
Other working capital,669075,3009678,2717355,-351367
Other non-cash items,-,406658,1422909,1083780
Net cash provided by operating activites,669745,3010276,2719759,-349226
Investments in property plant and equipment,-670,-598,-2404,-2141
Purchases of investments,-,0,-250000,-
Sales/Maturities of investments,0,250000,-,-
Other investing activites,-,-,-,84531
Net cash used for investing activites,-701367,-662155,-953873,-602243
Net change in cash,65248,141116,-537466,353755
Cash at beginning of period,126694,201420,738911,385159
Cash at end of period,191942,342555,201420,738911
Operating Cash Flow,669745,3010276,2719759,-349226
Capital Expenditure,-670,-598,-2404,-2141
Free Cash Flow,669075,3009678,2717355,-351367
