Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-1437,-1437,-6063,-6785,-2235
Other investing activites,234.656,234.656,753.959,49.554,35.651
Net cash used for investing activites,-1202,-1202,-5275,-6736,-2170
Debt repayment,-3575,-3575,-,-,-
Common stock issued,9222,9222,9180,7210,18209
Common stock repurchased,-302.968,-302.968,-773.805,-539.008,-2582
Other financing activites,-2739,-2739,-4063,-,-30.874
Net cash used privided by (used for) financing activities,6179,6179,4343,6671,15596
Net change in cash,3499,3499,-4293,-1189,6570
Cash at beginning of period,1384,1384,5691,6968,343.938
Cash at end of period,4855,4855,1384,5691,6968
Capital Expenditure,-1437,-1437,-6063,-6785,-2235
Free Cash Flow,-2915,-2915,-9424,-7910,-9091
