Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,42390000,31164000,28123000
Liabilities,,,
Total Liabilities,20156000,17577000,15842000
Stockholders' Equity,,,
Common Stock,7950000,-,4402000
Retained Earnings,6443000,4770000,3539000
Total stockholders' equity,22234000,13587000,12281000
Total liabilities and stockholders' equity,42390000,31164000,28123000
