Breakdown,ttm,1/31/2020,1/31/2019,1/31/2018,1/31/2017
Net Income,348000,348000,244000,311000,305000
Depreciation & amortization,525000,525000,443000,418000,399000
Stock based compensation,26000,26000,34000,33000,20000
Change in working capital,41000,41000,7000,-9000,293000
Inventory,53000,53000,-27000,-72000,2000
Other working capital,316000,316000,254000,244000,559000
Other non-cash items,77000,77000,76000,80000,147000
Net cash provided by operating activites,826000,826000,712000,744000,978000
Investments in property plant and equipment,-510000,-510000,-458000,-500000,-419000
Acquisitions net,-1000,-1000,-3000,-,-
Other investing activites,-,-,-,0,0
Net cash used for investing activites,-467000,-467000,-431000,-380000,-282000
Net change in cash,41000,41000,-63000,1000,-161000
Cash at beginning of period,264000,264000,327000,326000,487000
Cash at end of period,305000,305000,264000,327000,326000
Operating Cash Flow,826000,826000,712000,744000,978000
Capital Expenditure,-510000,-510000,-458000,-500000,-419000
Free Cash Flow,316000,316000,254000,244000,559000
