Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1923161,1832078,1737920,1623131
Liabilities,,,,
Total Liabilities,1472146,1433208,1289224,1184516
Stockholders' Equity,,,,
Common Stock,318.532,314.686,312.137,301.326
Retained Earnings,223268,192751,236893,244943
Accumulated other comprehensive income,504.17,-14228,-2684,-2254
Total stockholders' equity,451016,398870,448696,438615
Total liabilities and stockholders' equity,1923161,1832078,1737920,1623131
