Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-288.531,-112.457,-689.166,-203.843,-1248
Purchases of investments,-,-,-192.478,-25.618,-
Other investing activites,-,-,8.62,-,-
Net cash used for investing activites,-288.531,-112.457,-873.024,-229.461,-1248
Debt repayment,-,-25,-165,-100,-
Common stock issued,1007,396.088,1127,1501,863.694
Net cash used privided by (used for) financing activities,1214,543.588,1177,1501,863.694
Net change in cash,184.978,-42.042,-249.858,193.073,-1163
Cash at beginning of period,12.212,81.534,323.023,136.068,1282
Cash at end of period,197.19,40.136,81.534,323.023,136.068
Capital Expenditure,-288.531,-112.457,-689.166,-203.843,-1248
Free Cash Flow,-1029,-585.63,-1243,-1283,-2027
