Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,441319,330604,820862,425972
Depreciation & amortization,-,951446,866649,832387
Change in working capital,-,-526980,299621,-574277
Inventory,-,-130940,-49643,-177928
Other working capital,-,-2628781,537642,-287115
Other non-cash items,-,463421,32258,102593
Net cash provided by operating activites,-,1352305,1427025,690794
Investments in property plant and equipment,-,-3981086,-889383,-977909
Acquisitions net,-,-363998,-190286,-
Purchases of investments,-,-717281,-,-16000
Sales/Maturities of investments,-,455544,89730,-
Other investing activites,-,209507,-46141,191373
Net cash used for investing activites,-,-4377656,-58037,-194735
Net change in cash,-,-898063,587078,-867273
Cash at beginning of period,-,6945213,6358134,7225408
Cash at end of period,-,6047149,6945213,6358134
Operating Cash Flow,-,1352305,1427025,690794
Capital Expenditure,-,-3981086,-889383,-977909
Free Cash Flow,-,-2628781,537642,-287115
