Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,69434,69434,65012,65638,68632
Interest Expense,16527,16527,11407,6782,5192
Income Before Tax,13514,13514,10490,5786,7521
Income Tax Expense,3033,3033,2327,2754,2599
Income from Continuing Operations,10481,10481,8163,3032,4922
Net Income,10481,10481,8163,3032,4922
Net Income available to common shareholders,10481,10481,8163,1865,3766
Basic EPS,-,-,1.28,0.50,1.60
Diluted EPS,-,-,1.27,0.49,1.60
Basic Average Shares,-,-,6397,3743,2353
Diluted Average Shares,-,-,6427,3770,2353
