Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,976076,960939,5441987,1135204
Depreciation & amortization,-,1279153,1276456,1146763
Change in working capital,-,-455271,-724858,-38209
Inventory,-,-1042651,-72320,631130
Other working capital,-,-1759092,-1617626,-2696252
Other non-cash items,-,-220605,8218,-147049
Net cash provided by operating activites,-,729799,977427,1337975
Investments in property plant and equipment,-,-2488891,-2595053,-4034227
Sales/Maturities of investments,-,-,0,6520
Other investing activites,-,29786,-900226,-175380
Net cash used for investing activites,-,-2459105,4149661,-1777769
Net change in cash,-,-2035639,3652580,55291
Cash at beginning of period,-,4460119,807539,752248
Cash at end of period,-,2424479,4460119,807539
Operating Cash Flow,-,729799,977427,1337975
Capital Expenditure,-,-2488891,-2595053,-4034227
Free Cash Flow,-,-1759092,-1617626,-2696252
