Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,3916120,3432757,5457130,3508400
Liabilities,,,,
Total Liabilities,3172383,2569583,4317389,2354662
Stockholders' Equity,,,,
Common Stock,4043,3876,43883,45745
Retained Earnings,-1241754,-1105019,-859009,-358526
Accumulated other comprehensive income,-33102,-24465,-10486,-23199
Total stockholders' equity,685826,768373,633886,841863
Total liabilities and stockholders' equity,3916120,3432757,5457130,3508400
