Breakdown,ttm,11/30/2019,11/30/2018,11/30/2017,11/30/2016
Net Income,602778,541018,-102653,125570,143697
Depreciation & amortization,-,124516,172985,181053,158301
Change in working capital,-,-377600,372983,-95096,1985723
Inventory,-,685,905872,-531563,50524
Other working capital,-,578527,584718,314580,2202347
Other non-cash items,-,37972,51562,49271,23709
Net cash provided by operating activites,-,578527,584718,314580,2202347
Acquisitions net,-,-7000,-155147,-,-
Purchases of investments,-,-5602,-879,-15804,-209573
Sales/Maturities of investments,-,-,1882,7940,200014
Other investing activites,-,-10725,67133,-1317286,-367592
Net cash used for investing activites,-,-2314,-25866,-1361652,-393151
Net change in cash,-,82605,-6939,-94918,20418
Cash at beginning of period,-,1613530,1621248,1716166,1692715
Cash at end of period,-,1696135,1613530,1621248,1716166
Operating Cash Flow,-,578527,584718,314580,2202347
Free Cash Flow,-,578527,584718,314580,2202347
