Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-31.458,-53,-57.58,-2.68
Purchases of investments,-,409.58,751.247,-657.026,-503.802
Net cash used for investing activites,-,378.122,698.247,-714.606,-506.482
Common stock issued,-,687.562,1770,962.913,462.912
Common stock repurchased,-52.357,-36.029,-124.233,-98.939,-32.755
Net cash used privided by (used for) financing activities,895.205,651.533,1646,863.974,430.157
Net change in cash,201.835,-48.838,629.427,-415.989,-416.755
Cash at beginning of period,667.186,713.14,83.713,499.702,916.457
Cash at end of period,869.021,664.302,713.14,83.713,499.702
Capital Expenditure,-,-31.458,-53,-57.58,-2.68
Free Cash Flow,-693.37,-1110,-1768,-622.937,-343.11
