Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-78103,-78103,-86662,-41674,-21495
Acquisitions net,-16653,-16653,-218276,-628101,-117049
Other investing activites,-,-,-5378,541513,-594001
Net cash used for investing activites,-94756,-94756,-309157,-123941,-731432
Debt repayment,-28553,-28553,-627770,-2209,-218514
Common stock issued,-,-,-,-,379559
Common stock repurchased,-,-,-,-705.1282,-
Dividends Paid,-11373,-11373,-18090,-11218,-9180
Other financing activites,-672.2809,-672.2809,3977,-3929,-7067
Net cash used privided by (used for) financing activities,20872,20872,249765,61355,724464
Net change in cash,-19569,-19569,37121,38772,30410
Cash at beginning of period,113882,113882,77705,32488,20887
Cash at end of period,83400,83400,112856,70313,35021
Capital Expenditure,-78103,-78103,-86662,-41674,-21495
Free Cash Flow,-23788,-23788,9851,59683,15883
