Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-3568,-3174,-1616,-695.19,-218.188
Purchases of investments,-,-,-,-14469,5444
Other investing activites,-,294,-,-,-
Net cash used for investing activites,-3568,-2880,-1616,-44235,2354
Debt repayment,-586,-11003,-,-,-
Common stock issued,-,20302,4731,4288,2115
Common stock repurchased,-105,-1278,-286.089,-235.583,-
Net cash used privided by (used for) financing activities,-389,8021,4445,59745,-2307
Net change in cash,-5546,4852,-1694,13790,263.134
Cash at beginning of period,22978,14529,16223,2434,2171
Cash at end of period,17432,19381,14529,16223,2434
Capital Expenditure,-3568,-3174,-1616,-695.19,-218.188
Free Cash Flow,-5157,-3463,-6139,-2415,-2.875
