Breakdown,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Assets,50948,49212,46118,39844
Liabilities,,,,
Total Liabilities,2605,4111,5299,3288
Stockholders' Equity,,,,
Common Stock,47781,42553,39409,35263
Retained Earnings,-1619,-1318,-1318,-1318
Accumulated other comprehensive income,2181,3866,2727,2610
Total stockholders' equity,48343,45101,40819,36556
Total liabilities and stockholders' equity,50948,49212,46118,39844
