Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-1925,-1925,-1741,-3381,-3338
Other investing activites,-444,-444,-24,-,-1
Net cash used for investing activites,-2369,-2369,-1765,-3381,-3339
Debt repayment,-12678,-12678,-14697,-23850,-16966
Other financing activites,-16,-16,-,-153,-
Net cash used privided by (used for) financing activities,1891,1891,-3323,4864,-5209
Net change in cash,-8610,-8610,10276,-2137,-3744
Cash at beginning of period,12889,12889,2309,4593,8490
Cash at end of period,4303,4303,12889,2309,4593
Capital Expenditure,-1925,-1925,-1741,-3381,-3338
Free Cash Flow,-10057,-10057,13623,-7001,1466
