Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017
Total Revenue,195838,195838,178055,149493
Interest Expense,19317,19317,14219,17761
Income Before Tax,64174,64174,50320,19721
Income Tax Expense,16972,16972,5666,13613
Income from Continuing Operations,47202,47202,44654,6108
Net Income,47202,47202,44654,6108
Net Income available to common shareholders,47180,47180,44632,5952
Basic EPS,-,-,1.47,0.19
Diluted EPS,-,-,1.46,0.19
Basic Average Shares,-,-,30369,31772
Diluted Average Shares,-,-,30633,31772
