Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-2944000,5723000,11461000,11568000
Depreciation & amortization,-,9940000,10627000,10931000
Change in working capital,-,-3797000,669000,-5851000
Inventory,-,-2272000,559000,1778000
Other working capital,-,7762000,19584000,4903000
Other non-cash items,-,1262000,2572000,1717000
Net cash provided by operating activites,-,14905000,27987000,17093000
Investments in property plant and equipment,-,-7143000,-8403000,-12190000
Acquisitions net,-,-,-,-2178000
Purchases of investments,-,-85907000,-80425000,-109616000
Sales/Maturities of investments,-,89468000,81708000,112396000
Other investing activites,-,904000,188000,226000
Net cash used for investing activites,-,-2580000,-6986000,-11288000
Net change in cash,-,1248000,10480000,-10219000
Cash at beginning of period,-,48827000,38207000,48426000
Cash at end of period,-,50087000,48827000,38207000
Operating Cash Flow,-,14905000,27987000,17093000
Capital Expenditure,-,-7143000,-8403000,-12190000
Free Cash Flow,-,7762000,19584000,4903000
