Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017
Net Income,-13573,-13573,-122919,51569
Depreciation & amortization,-,-,9200,8821
Change in working capital,-,-,122188,99968
Inventory,-,-,2512,38655
Other working capital,-,-,-36137,65071
Other non-cash items,-,-,13301,-69752
Net cash provided by operating activites,-,-,-17773,71556
Investments in property plant and equipment,-,-,-18364,-6485
Acquisitions net,-,-,-226758,-
Purchases of investments,-,-,0,-249725
Sales/Maturities of investments,-,-,0,250837
Other investing activites,-,-,1161,-6413
Net cash used for investing activites,-,-,-241497,-6007
Net change in cash,-,-,-190792,-61623
Cash at beginning of period,-,-,234003,294052
Cash at end of period,-,-,43305,234003
Operating Cash Flow,-,-,-17773,71556
Capital Expenditure,-,-,-18364,-6485
Free Cash Flow,-,-,-36137,65071
