Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,48534000,66560000,87377000,63453000
Depreciation & amortization,48253000,45904000,49283000,48556000
Change in working capital,8446000,10008000,-27486000,-10163000
Inventory,3480000,362000,-6860000,-1328000
Other working capital,51485000,38941000,74085000,76761000
Net cash provided by operating activites,113670000,98569000,122551000,119939000
Investments in property plant and equipment,-62185000,-59628000,-48466000,-43178000
Acquisitions net,-,-,-,-9548000
Purchases of investments,-,-,-2811000,-
Sales/Maturities of investments,1870000,6689000,-,2627000
Other investing activites,-17000,19000,963000,-177000
Net cash used for investing activites,-63639000,-49955000,-50215000,-49739000
Net change in cash,11739000,-7027000,24365000,39451000
Cash at beginning of period,275903000,304709000,280343000,240891000
Cash at end of period,289596000,297682000,304709000,280343000
Operating Cash Flow,113670000,98569000,122551000,119939000
Capital Expenditure,-62185000,-59628000,-48466000,-43178000
Free Cash Flow,51485000,38941000,74085000,76761000
