Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-7.751,-,-,-
Acquisitions net,-,-,5.157,-,-
Net cash used for investing activites,-,-7.751,5.157,-,15.053
Debt repayment,-,-50,-,-,-100
Common stock issued,-,1800,5250,-,1715
Common stock repurchased,-,-108,-744.212,-,-150.663
Net cash used privided by (used for) financing activities,-,1642,4556,-,1564
Net change in cash,132.572,-419.223,3166,-522.717,970.926
Cash at beginning of period,2357,3606,440.528,963.245,8.725
Cash at end of period,2490,3182,3606,440.528,963.245
Capital Expenditure,-,-7.751,-,-,-
Free Cash Flow,-1596,-2061,-1395,-522.717,-608.192
