Breakdown,ttm,6/30/2019
Investments in property plant and equipment,-4072,-3109
Net cash used for investing activites,-3334,-3109
Common stock issued,453.171,5372
Common stock repurchased,28.446,-642.006
Net cash used privided by (used for) financing activities,468.773,5170
Net change in cash,-3402,1595
Cash at beginning of period,3677,101.685
Cash at end of period,274.227,1697
Capital Expenditure,-4072,-3109
Free Cash Flow,-4610,-3575
