Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,20240000,17423000,17166000,14451000
Depreciation & amortization,-,14496000,13266000,11953000
Change in working capital,-,2348000,575000,2217000
Inventory,-,-6610000,-5419000,-4381000
Other working capital,-,18721000,21394000,20381000
Other non-cash items,-,-245000,3542000,1166000
Net cash provided by operating activites,-,34872000,35902000,33303000
Investments in property plant and equipment,-,-16151000,-14508000,-12922000
Acquisitions net,-,-5339000,-16247000,-
Purchases of investments,-,-691000,-1867000,-240000
Sales/Maturities of investments,-,1944000,881000,245000
Other investing activites,-,-3967000,-5044000,-5214000
Net cash used for investing activites,-,-23955000,-36726000,-18034000
Net change in cash,-,3567000,-2028000,2366000
Cash at beginning of period,-,13585000,15613000,13245000
Cash at end of period,-,17152000,13585000,15613000
Operating Cash Flow,-,34872000,35902000,33303000
Capital Expenditure,-,-16151000,-14508000,-12922000
Free Cash Flow,-,18721000,21394000,20381000
